nama_tpu,wilayah,kecamatan,kelurahan,alamat,luas,unit_agama,jumlah_terisi,lat,lon,confidence,nominatim_match_type
TPU TEGAL ALUR II (ISLAM),KOTA ADM. JAKARTA BARAT,KALIDERES,TEGAL ALUR,"Jl. Pemakaman, RT.3/RW.9, Tegal Alur, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820",550235,ISLAM,45138,,,FAILED,
TPU SUKABUMI SELATAN,KOTA ADM. JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,"Jl. Raya Sukabumi Selatan, RT.8/RW.6, Sukabumi Sel., Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11560",10960,ISLAM,4275,,,FAILED,
TPU JOGLO,KOTA ADM. JAKARTA BARAT,KEMBANGAN,JOGLO,"Jl. Palem Raya, RT.8/RW.3, Joglo, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11640",65192,ISLAM/ KRISTEN,17550,,,FAILED,
TPU GROGOL KEMANGGISAN,KOTA ADM. JAKARTA BARAT,PALMERAH,PALMERAH,"Jl. Kemanggisan Pulo No.51, RT.1/RW.9, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",19138,ISLAM,15597,,,FAILED,
TPU RAWA KOPI,KOTA ADM. JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,"Jl. Kedoya Raya No.25, RT.7/RW.3, Kedoya Sel., Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520",16645,ISLAM,10948,,,FAILED,
TPU KEPA DURI,KOTA ADM. JAKARTA BARAT,KEBON JERUK,DURI KEPA,"Jl. Villa Tomang Mas No.13, RT.3/RW.8, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510",23140,ISLAM,11394,,,FAILED,
TPU BASMOL,KOTA ADM. JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,"Kembangan Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta",10335,ISLAM,8552,,,FAILED,
TPU KAPUK KEBON JAHE (I dan II),KOTA ADM. JAKARTA BARAT,CENGKARENG,KAPUK,"Jl. Kapuk Darurat No.95, RT.3/RW.12, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720",12000,ISLAM,5201,,,FAILED,
TPU UTAN JATI,KOTA ADM. JAKARTA BARAT,KALIDERES,PEGADUNGAN,"Tpu Utan Jati, Jl. Utan Jati, RT.2/RW.11, Pegadungan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830",15860,ISLAM,8872,,,FAILED,
TPU SEMANAN,KOTA ADM. JAKARTA BARAT,KALIDERES,SEMANAN,"Jl. Raya Kramat Semanan No.77, RT.1/RW.10, Semanan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850",8240,ISLAM,5208,,,FAILED,
TPU JOGLO SWADHARMA,KOTA ADM. JAKARTA BARAT,KEMBANGAN,KEMBANGAN,Joglo RT 004 RW 006,6000,ISLAM,17550,-6.2197819,106.7379350,medium,administrative
TPU JERUK PURUT,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,"JL. MADRASAH NO.14, RT.7/RW.6, CILANDAK TIM., KEC. PS. MINGGU, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12520",91786,ISLAM,22550,,,FAILED,
TPU TANJUNG BARAT,KOTA ADM. JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,"JALAN SWADAYA II NO.Z NO.10, RT.1/RW.5, TANJUNG BARAT, JAGAKARSA, RT.1/RW.5, TJ. BAR., KEC. JAGAKARSA, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12530",29515,ISLAM,13492,,,FAILED,
TPU JAGAKARSA,KOTA ADM. JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,"BLOK HAJI ASMUN, JL. JAGAKARSA II HAJI ASMUN NO.36, RT.1/RW.7, JAGAKARSA, KEC. JAGAKARSA, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12620",7131,ISLAM,3686,,,FAILED,
