nama_rptra,wilayah,kecamatan,kelurahan,lat,lon,confidence,nominatim_display_name
Petamburan,KOTA ADM. JAKARTA PUSAT,Tanah Abang,Petamburan,-6.1953983,106.8068864,"LOW - kelurahan centroid only, not the actual park","Petamburan, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10260, Indonesia"
Bonti,KOTA ADM. JAKARTA PUSAT,Tanah Abang,Kebon Melati,-6.2002188,106.8141701,medium - name matched in result,"RPTRA Bonti, Kebon Melati, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10230, Indonesia"
Hati Suci,KOTA ADM. JAKARTA PUSAT,Tanah Abang,Kampung Bali,-6.1831089,106.8172757,medium - name matched in result,"RPTRA Hati Suci, Kampung Bali, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10250, Indonesia"
H.Hasbi,KOTA ADM. JAKARTA PUSAT,Tanah Abang,Kampung Bali,-6.1849724,106.8160095,"LOW - kelurahan centroid only, not the actual park","Kampung Bali, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10250, Indonesia"
Johar Berseri,KOTA ADM. JAKARTA PUSAT,Johar Baru,Johar Baru,-6.1857706,106.8567766,"LOW - kelurahan centroid only, not the actual park","Johar Baru, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Rawa Indah,KOTA ADM. JAKARTA PUSAT,Johar Baru,Kampung Rawa,-6.1795121,106.8556590,"LOW - kelurahan centroid only, not the actual park","Kampung Rawa, Johar Baru, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10550, Indonesia"
Rawa Indah Ceria,KOTA ADM. JAKARTA PUSAT,Johar Baru,Kampung Rawa,-6.1795121,106.8556590,"LOW - kelurahan centroid only, not the actual park","Kampung Rawa, Johar Baru, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10550, Indonesia"
Rasela Indah,KOTA ADM. JAKARTA PUSAT,Johar Baru,Kampung Rawa,-6.1795121,106.8556590,"LOW - kelurahan centroid only, not the actual park","Kampung Rawa, Johar Baru, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10550, Indonesia"
Komando Ceria,KOTA ADM. JAKARTA PUSAT,Johar Baru,Galur,-6.1760190,106.8551951,"LOW - kelurahan centroid only, not the actual park","Galur, Johar Baru, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10530, Indonesia"
Gempar Gemilang,KOTA ADM. JAKARTA PUSAT,Johar Baru,Galur,-6.1760190,106.8551951,"LOW - kelurahan centroid only, not the actual park","Galur, Johar Baru, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10530, Indonesia"
