periode_data,wilayah,kecamatan,kelurahan,nama_rptra
2023,KAB. ADM. KEP. SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,NYIUR MELAMBAI
2023,KAB. ADM. KEP. SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,ARUNG PALAKKA
2023,KAB. ADM. KEP. SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,HARAPAN WIDYA BAHARI
2023,KAB. ADM. KEP. SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,JAGA UTARA
2023,KAB. ADM. KEP. SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,AMITERDAM
2023,KAB. ADM. KEP. SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,TIDUNG CERIA
2023,KAB. ADM. KEP. SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,KLANCENG PUTIH
2024,KOTA ADM. JAKARTA UTARA,CILINCING,ROROTAN,ROROTAN INDAH 2
2024,KOTA ADM. JAKARTA UTARA,CILINCING,ROROTAN,SUNDIRO
2024,KOTA ADM. JAKARTA UTARA,CILINCING,SEMPER BARAT,INTILAND TEDUH SEMPER BARAT
2024,KOTA ADM. JAKARTA UTARA,CILINCING,SEMPER BARAT,TIPAR ASRI
2024,KOTA ADM. JAKARTA UTARA,CILINCING,SEMPER BARAT,PESONA TIPAR
2024,KOTA ADM. JAKARTA UTARA,CILINCING,SEMPER BARAT,GREEN RENGAS
2024,KOTA ADM. JAKARTA UTARA,CILINCING,SEMPER BARAT,SATRIA BIRU
2024,KOTA ADM. JAKARTA UTARA,CILINCING,SEMPER BARAT,TRIPUTRA PERSADA HIJAU
2024,KOTA ADM. JAKARTA UTARA,CILINCING,SEMPER BARAT,TAMAN SENA
2024,KOTA ADM. JAKARTA UTARA,CILINCING,SEMPER BARAT,DUKUH MANIS
2024,KOTA ADM. JAKARTA UTARA,CILINCING,SEMPER BARAT,KAPUAS DUA SATU DUA
2024,KOTA ADM. JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,PATIMURA
2024,KOTA ADM. JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,BUDI MULIA
2024,KOTA ADM. JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,BIRU LAUT
2024,KOTA ADM. JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,GADING HARMONI
2024,KOTA ADM. JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,DEWI SHINTA
2024,KOTA ADM. JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,GADING TARIAN
2024,KOTA ADM. JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,NKRI
2024,KOTA ADM. JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,H. OYAR
2024,KOTA ADM. JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,KELAPA NIAS IX
2024,KOTA ADM. JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,GRIYA PRATAMA
